theme,sub_theme,topic,geography_type,geography,metric,sex,age,stratum,year,date,metric_value,in_reporting_delay_period
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2026,2026-06-22,10.4200,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2026,2026-06-15,10.0800,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2026,2026-06-08,8.5200,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2026,2026-06-01,9.9600,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2026,2026-05-25,11.9600,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2026,2026-05-18,13.7000,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2026,2026-05-11,11.9100,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2026,2026-05-04,12.6500,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2026,2026-04-27,9.6100,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2026,2026-04-20,11.6800,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2026,2026-04-13,13.2500,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2026,2026-04-06,13.3000,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2026,2026-03-30,12.8800,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2026,2026-03-23,13.8000,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2026,2026-03-16,13.6800,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2026,2026-03-09,11.6200,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2026,2026-03-02,11.0300,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2026,2026-02-23,11.3800,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2026,2026-02-16,11.7600,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2026,2026-02-09,14.0300,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2026,2026-02-02,12.8400,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2026,2026-01-26,12.7000,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2026,2026-01-19,13.5200,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2026,2026-01-12,11.4200,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2026,2026-01-05,13.6700,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2025,2025-12-29,12.2400,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2025,2025-12-22,14.5800,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2025,2025-12-15,14.8700,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2025,2025-12-08,13.1000,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2025,2025-12-01,14.1700,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2025,2025-11-24,15.7400,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2025,2025-11-17,17.0800,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2025,2025-11-10,16.8400,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2025,2025-11-03,14.8300,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2025,2025-10-27,15.8900,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2025,2025-10-20,16.6000,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2025,2025-10-13,18.6800,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2025,2025-10-06,19.5300,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2025,2025-09-29,20.3800,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2025,2025-09-22,16.8200,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2025,2025-09-15,14.6400,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2025,2025-09-08,9.7000,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2025,2025-09-01,7.5000,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2025,2025-08-25,6.6800,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2025,2025-08-18,7.9900,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2025,2025-08-11,7.5600,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2025,2025-08-04,9.0400,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2025,2025-07-28,8.4600,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2025,2025-07-21,9.6100,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2025,2025-07-14,9.0600,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2025,2025-07-07,10.1100,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2025,2025-06-30,10.7900,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2025,2025-06-23,11.1700,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2025,2025-06-16,9.5100,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2025,2025-06-09,10.0200,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2025,2025-06-02,11.9100,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2025,2025-05-26,10.7600,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2025,2025-05-19,11.0700,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2025,2025-05-12,10.9000,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2025,2025-05-05,11.5800,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2025,2025-04-28,10.5100,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2025,2025-04-21,8.9800,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2025,2025-04-14,9.6000,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2025,2025-04-07,10.5600,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2025,2025-03-31,10.8900,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2025,2025-03-24,10.3700,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2025,2025-03-17,10.4700,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2025,2025-03-10,8.2600,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2025,2025-03-03,9.6200,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2025,2025-02-24,8.4300,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2025,2025-02-17,10.1300,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2025,2025-02-10,10.3000,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2025,2025-02-03,10.4100,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2025,2025-01-27,9.0600,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2025,2025-01-20,8.9500,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2025,2025-01-13,7.1900,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2025,2025-01-06,7.1200,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2024,2024-12-30,7.3700,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2024,2024-12-23,6.7300,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2024,2024-12-16,8.4400,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2024,2024-12-09,8.8100,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2024,2024-12-02,10.3400,False
