Country,Site,Years,Longitude,Latitude,Altitude_m,Habitat,Geolocator_type,Geo_male,Geo_female,Control_male,Control_female
Spain,Spain,2015,-3.4,41.0,1263,"Oak & pine",W50,"7/28 (25%)","0/2 (0%)","55/128 (43%)","76/157 (48%)"
Britain,Dartmoor,2017-2019,-3.7,50.6,200,Oak,P30,"25/78 (32%)","12/56 (21%)","37/103 (36%)","32/88 (36%)"
Netherlands,Drenthe,2016-2019,6.4,52.8,3,"Oak, coniferous, mixed","W50, P50, P30","30/116 (26%)","6/22 (27%)","47/109 (43%)","7/21 (33%)"
Common garden,Vomb,2018-2020,13.6,55.7,42,"Mixed, pine and birch",P30,"5/11 (45%)","1/9 (11%)",NA,NA
Common garden,Vomb,2018-2020,13.6,55.7,42,"Mixed, pine and birch",P30,"8/13 (62%)","3/14 (21%)",NA,NA
Sweden,Vomb,2018-2020,13.6,55.7,42,"Mixed, pine and birch",P30,"10/24 (42%)","3/15 (20%)","7/24 (29%)","4/15 (27%)"
Norway,Norway,2012,10.6,60.0,180,"Coniferous, deciduous (not oak)",W50,"1/23 (4%)",NA,"6/21 (29%)",NA
Russia,Moscow,2020,36.7,55.7,170,"Mixed, spruce and birch",P30,"4/9 (44%)",NA,"7/20 (35%)",NA
Russia,Ural,2017,59.9,56.9,360,"Mixed, aspen and birch",W50,"1/10 (10%)",NA,"7/31 (23%)",NA
Russia,Tomsk,2015,84.6,56.2,150,"Mixed, aspen and birch",W50,"7/31 (23%)",NA,"5/14 (36%)",NA
