"Site","Year","ID","Ring","Tag","Sex","Birth","Status","class","Repeat","deployAge","gen","env","pop","deployBreedStatus","winterLongitude","winterLatitude","iblon","iblat","awestlon","awestlat","pslon","pslat","deployAD_J","deployFED_J","deployHatch_J","breedDeparture_J","FAC_EndJ","winterArrival_J","ISC_Jy","breedArrival_Jy","returnAD_Jy","returnFED_Jy","returnHatch_Jy"
"Vomb",2018,"BN755","DA.64338","P30","M",2017,"recruit","SE-SE","N",2,"SE","SE","Sweden","breeding",-12.70813164,10.43643889,-5.80472833461024,41.5122250305473,-16.8326306178382,32.5573811597041,-7.19642313202409,40.148478982756,124.5,155,173,228,259,278,470,NA,489.5,520,535
"Vomb",2019,"BT327","DA.65814","P30","M",2018,"recruit","SE-SE","N",2,"SE","SE","Sweden","unpaired/non-breeding",-11.27929327,7.111185305,-5.7298718067676,42.1377911815728,-16.0761039315197,29.2844141221931,-8.32029870927648,31.5842382612719,145.5,NA,NA,215,239,248,463,483,510.5,499,517
"Vomb",2019,"BT335","DA.64534","P30","M",2018,"recruit","SE-SE","N",2,"SE","SE","Sweden","unpaired/non-breeding",-10.62419555,11.01012744,-6.70771240783758,35.7222441194126,-18.1971461775347,30.7726192065417,-4.41478497108876,34.2054807640129,133.5,NA,NA,209,255,263,475,495,498.5,NA,NA
"Vomb",2019,"BT886","DA.64496","P30","F",2018,"recruit","SE-SE","N",2,"SE","SE","Sweden","breeding",-11.40107127,12.49045401,-3.78472030703856,35.0317896218565,-16.5739832754932,33.4168562167395,-2.26173100800516,33.3758949762562,128.5,136,155,226,264,271,470,487,493.5,495,517
"Vomb",2019,"BT309","DA.65936","P30","M",2018,"recruit","SE-SE","N",2,"SE","SE","Sweden","unpaired/non-breeding",-12.90574938,8.010117642,-7.78702969605366,36.1738521529207,-15.0089600278605,24.8167175597264,-5.01535554752184,34.2383371395217,161,NA,NA,225,255,270,477,496,526,504,524
"Vomb",2019,"BT310","DA.64728","P30","M",2018,"recruit","SE-SE","N",2,"SE","SE","Sweden","unpaired/non-breeding",-13.23043826,10.36005007,-8.13498526285268,41.7001672113317,-17.6583143833419,40.3692649095505,0.609696658178216,42.78392262668,152.5,NA,NA,226,277,283,482,492,517.5,NA,NA
"Vomb",2019,"BT318","DA.65982","P30","M",2018,"recruit","SE-SE","N",2,"SE","SE","Sweden","unpaired/non-breeding",-10.00059211,9.524719158,0.959300832841419,47.859272088265,-15.2918359035573,26.8210216194598,11.092115083675,45.0524079718335,127.5,NA,NA,223,247,260,478,494,492.5,508,526
"Vomb",2020,"BY276","DA.64586","P30","M",2018,"recruit","SE-SE","N",3,"SE","SE","Sweden","breeding",-11.72473266,9.761893416,-6.7573928301255,40.9487808986899,-14.7460776796014,23.3128687151628,-3.56021575367544,34.3268044289677,122,140,159,227,266,268,470,492,487,503,523
"Vomb",2020,"BY618","DA.64492","P30","M",2018,"recruit","SE-SE","N",3,"SE","SE","Sweden","breeding",-11.50671989,7.573827486,-6.76286979515216,42.235575038153,-15.1130975002156,36.2437014926628,-6.32849159814763,37.8467616312484,118.5,132,152,220,243,249,464,486,483.5,497,524
"Vomb",2020,"BY620","DA.64500","P30","M",2018,"recruit","SE-SE","N",3,"SE","SE","Sweden","breeding",-6.652654057,7.582997553,-6.45974685945587,42.320455231195,-15.253434179134,33.1506868984855,-4.88376010794182,35.2111263855355,107.5,134,153,216,243,256,460,487,472.5,503,522
"Vomb",2020,"BY619","DA.64717","P30","M",2018,"recruit","SE-SE","N",3,"SE","SE","Sweden","breeding",-11.2556507,9.82791231,-7.43766495365789,30.802082502126,-15.2101987876334,18.029369950112,-6.79410833115619,30.2458792061754,123.5,131,151,225,266,268,473,495,488.5,NA,NA
"Vomb",2019,"BU515","DA.64661","P30","F",2019,"juvenile","SE-SE","N",1,"SE","SE","Sweden","juvenile",-10.89030659,6.596143356,-1.38524399788881,48.4167318466721,-17.4390373385578,28.7668837536745,2.39174569140486,44.2026808085282,NA,NA,NA,237,265,285,493,508,NA,503,523
"Vomb",2019,"BU478","DA.64654","P30","F",2019,"juvenile","SE-SE","N",1,"SE","SE","Sweden","juvenile",-12.78151165,8.751514304,-7.94984403969379,29.4838535567869,-15.16893750538,12.2424338228398,2.96445108727301,35.77830440013,NA,NA,NA,232,268,269,474,497,NA,505,NA
"Vomb",2020,"BY611","DA.64716","P30","F",2018,"recruit","SE-SE","N",3,"SE","SE","Sweden","breeding",-10.0478379,10.394357,-1.63916051978386,43.8016898442,-15.689748689252,41.7784276790758,-2.72400463768993,35.8314651302545,119.5,135,159,231,270,277,471,480,484.5,501,NA
"Vomb",2020,"BY610","CZ.05294","P30","F",2017,"recruit","SE-SE","N",4,"SE","SE","Sweden","breeding",-14.85180204,11.03147503,-8.65423578214869,42.4071322271439,-17.4618715324003,16.9001843669901,-0.146626166262099,40.5223497738845,127,136,155,225,267,267,489,507,492,513,530
"Norway",2012,"2935","2H59886","W50","M",2009,"recruit",NA,"N",4,NA,NA,"Norway","breeding",-13.54433034,9.659171117,-7.99320433268581,43.082780984519,-15.0671567375344,11.3922810225965,-7.90192148099239,32.1219772559453,140,144,162,236,287,289,470,NA,505,511,528
"Tomsk",2015,"U814","01808","W50","M",NA,"immigrant",NA,"N",NA,NA,NA,"Tomsk","breeding",14.54214107,2.848717567,-6.51338430782315,30.8867250346787,-16.6963515962594,15.1280252231242,14.0587896460418,25.1516430116994,NA,153,NA,230,303,337,452,486,NA,508,NA
